Rg,Ree
1.27154,3.705
0.722639,1.545
0.732634,1.514
0.737314,1.724
0.732039,1.636
0.730281,1.455
0.738696,1.628
0.741386,1.659
1.1939,3.551
1.18256,3.442
1.16892,3.297
0.985022,2.853
0.96454,2.868
0.952653,2.866
0.715246,1.615
0.741596,1.742
0.828889,1.315
0.819254,1.205
0.710248,1.456
0.714551,1.588
0.71405,1.539
0.699091,1.583
0.71252,1.546
0.858038,2.042
0.847541,2.179
0.835253,1.399
0.879705,2.157
0.868498,2.103
0.871701,2.138
0.873764,2.192
0.862836,2.147
0.884233,2.235
0.717063,1.548
0.738502,1.63
0.863789,1.213
0.863425,1.275
0.87121,2.218
0.732338,1.786
0.737276,1.765
0.747604,1.778
0.854219,2.477
0.904182,2.679
0.879157,2.595
0.934047,2.637
0.717908,1.598
0.721024,1.601
0.72267,1.602
0.727679,1.748
0.725607,1.729
0.954289,2.858
0.728429,1.72
0.72987,1.667
0.72777,1.658
0.734206,1.66
0.744068,1.73
